Request: {}
Malicious: True
----------------------------------------
Request: {}
Malicious: True
----------------------------------------
2025-07-13 13:53:30,083 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=59cfc62ae843475eb73f196fb8c48f7a&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:33,518 - INFO - Action: ALLOW | URL: https://functional.events.data.microsoft.com/OneCollector/1.0/ | IP: 
2025-07-13 13:53:33,522 - INFO - Action: ALLOW | URL: https://functional.events.data.microsoft.com/OneCollector/1.0/ | IP: 
2025-07-13 13:53:33,746 - WARNING - Action: BLOCK | URL: https://meet.google.com/meetsw.js?xhrRoot=%2F_%2FMeetingsDesktopUi&mssRowKey=boq-rtc.MeetingsDesktopUi.en.q5rC8JtKX7E.2020.O&buildLabel=boq_meetingsuiserver_20250704.08_p1 | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:33,753 - WARNING - Action: BLOCK | URL: https://meet.google.com/meetsw.js?xhrRoot=%2F_%2FMeetingsDesktopUi&mssRowKey=boq-rtc.MeetingsDesktopUi.en.q5rC8JtKX7E.2020.O&buildLabel=boq_meetingsuiserver_20250704.08_p1 | IP: 
2025-07-13 13:53:34,464 - INFO - Action: ALLOW | URL: https://www.bing.com/web/xlsc.aspx?dl=1&f=8 | IP: 
2025-07-13 13:53:34,468 - INFO - Action: ALLOW | URL: https://www.bing.com/web/xlsc.aspx?dl=1&f=8 | IP: 
2025-07-13 13:53:35,279 - WARNING - Action: BLOCK | URL: https://ntp.msn.com/edge/ntp?locale=en-US&title=New%20tab&dsp=1&sp=Bing&feed_dis=always&en_widget_reg=false&PC=U531 | IP:  | Reason: SQLi pattern in header
2025-07-13 13:53:35,287 - WARNING - Action: BLOCK | URL: https://ntp.msn.com/edge/ntp?locale=en-US&title=New%20tab&dsp=1&sp=Bing&feed_dis=always&en_widget_reg=false&PC=U531 | IP: 
2025-07-13 13:53:35,558 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=715d0d8bf86249e4b5376f0cd465d326&oit=0&pgcl=20&richanswersentity=1 | IP: 
2025-07-13 13:53:35,565 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=715d0d8bf86249e4b5376f0cd465d326&oit=0&pgcl=20&richanswersentity=1 | IP: 
2025-07-13 13:53:35,771 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=g&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=1&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:35,775 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=g&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=1&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:35,914 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=go&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=2&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:35,921 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=go&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=2&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,043 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=goo&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=3&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,048 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=goo&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=3&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,142 - INFO - Action: ALLOW | URL: https://functional.events.data.microsoft.com/OneCollector/1.0/ | IP: 
2025-07-13 13:53:36,155 - INFO - Action: ALLOW | URL: https://functional.events.data.microsoft.com/OneCollector/1.0/ | IP: 
2025-07-13 13:53:36,197 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=goog&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=4&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,204 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=goog&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=4&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,211 - WARNING - Action: BLOCK | URL: https://edge.microsoft.com/sync/v1/feeds/me/syncEntities/command/?client=Chromium&client_id=6FVeQquZso0SIlsweFMEXw%3D%3D | IP:  | Reason: XSS pattern in header
2025-07-13 13:53:36,223 - WARNING - Action: BLOCK | URL: https://edge.microsoft.com/sync/v1/feeds/me/syncEntities/command/?client=Chromium&client_id=6FVeQquZso0SIlsweFMEXw%3D%3D | IP: 
2025-07-13 13:53:36,272 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=googl&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=5&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,283 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=googl&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=5&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,355 - WARNING - Action: BLOCK | URL: https://ntp.msn.com/edge/ntp/service-worker.js?bundles=latest&riverAgeMinutes=2880&navAgeMinutes=2880&networkTimeoutSeconds=5&bgTaskNetworkTimeoutSeconds=8&ssrBasePageNavAgeMinutes=720&enableEmptySectionRoute=true&enableNavPreload=true&enableFallbackVerticalsFeed=true&noCacheLayoutTemplates=true&cacheSSRBasePageResponse=true&enableStaticAdsRouting=true&enableWidgetsRegion=true&enableNonPrerenderStaticNav=true&enableSWNotRunningStaticNav=true | IP:  | Reason: XSS pattern in URL
2025-07-13 13:53:36,360 - WARNING - Action: BLOCK | URL: https://ntp.msn.com/edge/ntp/service-worker.js?bundles=latest&riverAgeMinutes=2880&navAgeMinutes=2880&networkTimeoutSeconds=5&bgTaskNetworkTimeoutSeconds=8&ssrBasePageNavAgeMinutes=720&enableEmptySectionRoute=true&enableNavPreload=true&enableFallbackVerticalsFeed=true&noCacheLayoutTemplates=true&cacheSSRBasePageResponse=true&enableStaticAdsRouting=true&enableWidgetsRegion=true&enableNonPrerenderStaticNav=true&enableSWNotRunningStaticNav=true | IP: 
2025-07-13 13:53:36,536 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=google&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=6&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:36,541 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=google&language=en-US&pt=EdgBox&cvid=53f9867f586541c2a32b9d370661c873&oit=1&cp=6&pgcl=7&richanswersentity=1 | IP: 
2025-07-13 13:53:37,026 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.H-_F1p-H60iUA90pUwW__1sJfptijzvnujStxdI2z6E&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,034 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.H-_F1p-H60iUA90pUwW__1sJfptijzvnujStxdI2z6E&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,051 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.jjqxon0XmsLqniYFqaOBFH9yJaIZmm94YlPRxaEGeJY&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,059 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.jjqxon0XmsLqniYFqaOBFH9yJaIZmm94YlPRxaEGeJY&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,073 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.eU9aTwz5Ap3ZWZL2oT6-73rPgY3Y4BClRxZZUvZGw4E&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,086 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.eU9aTwz5Ap3ZWZL2oT6-73rPgY3Y4BClRxZZUvZGw4E&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,105 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.urAS-HxZI-ZBNHn6PbpsMko7ogvVpeOnO5OUglKIUWk&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,112 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.urAS-HxZI-ZBNHn6PbpsMko7ogvVpeOnO5OUglKIUWk&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,137 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.ed80d30439ed1f0ce7a074803f23fd94&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,145 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.ed80d30439ed1f0ce7a074803f23fd94&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,155 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.43d0ea4a8eeaa48f7e78fe5675346447&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:37,162 - INFO - Action: ALLOW | URL: https://www.bing.com/th?id=OSK.43d0ea4a8eeaa48f7e78fe5675346447&w=80&h=80&qlt=90&c=6&rs=1&cdv=1&pid=RS | IP: 
2025-07-13 13:53:39,322 - INFO - Action: ALLOW | URL: https://www.bing.com/search?qs=AS&pq=google&sk=CSYN1HS1AS1&sc=16-6&q=google+chrome&cvid=53f9867f586541c2a32b9d370661c873&gs_lcrp=EgRlZGdlKgYIAxAAGEAyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQLhhAMgYIBRAuGEAyBggGEEUYPDIGCAcQRRg8MgYICBBFGDzSAQgzNTQ0ajBqN6gCALACAA&FORM=ANNTA0&PC=U531 | IP: 
2025-07-13 13:53:39,327 - INFO - Action: ALLOW | URL: https://www.bing.com/search?qs=AS&pq=google&sk=CSYN1HS1AS1&sc=16-6&q=google+chrome&cvid=53f9867f586541c2a32b9d370661c873&gs_lcrp=EgRlZGdlKgYIAxAAGEAyCQgAEEUYOxj5BzIGCAEQLhhAMgYIAhBFGDkyBggDEAAYQDIGCAQQLhhAMgYIBRAuGEAyBggGEEUYPDIGCAcQRRg8MgYICBBFGDzSAQgzNTQ0ajBqN6gCALACAA&FORM=ANNTA0&PC=U531 | IP: 
2025-07-13 13:53:41,182 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/l?IG=3B22CA48043D49A29F52509D214C326E&Type=Event.ClientInst&DATA=[{%22T%22:%22CI.HeaderScopeOrder%22,%22FID%22:%22CI%22,%22Name%22:%22ScopeMapOrderValue%22,%22Text%22:%22%22,%22SDK%22:%22SJ%22}]&dl=4 | IP: 
2025-07-13 13:53:41,187 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/l?IG=3B22CA48043D49A29F52509D214C326E&Type=Event.ClientInst&DATA=[{%22T%22:%22CI.HeaderScopeOrder%22,%22FID%22:%22CI%22,%22Name%22:%22ScopeMapOrderValue%22,%22Text%22:%22%22,%22SDK%22:%22SJ%22}]&dl=4 | IP: 
2025-07-13 13:53:41,681 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=c0d7d62feee6460b8fcd34dc3c2eafb6&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:41,696 - INFO - Action: ALLOW | URL: https://www.bing.com/qbox?query=&language=en-US&pt=EdgBox&cvid=c0d7d62feee6460b8fcd34dc3c2eafb6&oit=0&pgcl=22&richanswersentity=1 | IP: 
2025-07-13 13:53:41,756 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/l?IG=3B22CA48043D49A29F52509D214C326E&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:29,%22BC%22:29,%22SE%22:-1,%22TC%22:-1,%22H%22:195,%22BP%22:529,%22CT%22:530,%22IL%22:3},%22ad%22:[-1,-1,1257,594,1257,3680,1],%22net%22:%22undefined%22}&P=SERP&DA=PUSE01&dl=5 | IP: 
2025-07-13 13:53:41,762 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/l?IG=3B22CA48043D49A29F52509D214C326E&Type=Event.CPT&DATA={%22pp%22:{%22S%22:%22L%22,%22FC%22:29,%22BC%22:29,%22SE%22:-1,%22TC%22:-1,%22H%22:195,%22BP%22:529,%22CT%22:530,%22IL%22:3},%22ad%22:[-1,-1,1257,594,1257,3680,1],%22net%22:%22undefined%22}&P=SERP&DA=PUSE01&dl=5 | IP: 
2025-07-13 13:53:41,788 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/lsp.aspx? | IP: 
2025-07-13 13:53:41,802 - INFO - Action: ALLOW | URL: https://www.bing.com/fd/ls/lsp.aspx? | IP: 
2025-07-13 13:53:41,899 - INFO - Action: ALLOW | URL: https://www.bing.com/AS/Suggestions?pt=page.serp&bq=google+chrome&qry=google%20chrome&csr=1&pths=1&rqry=1&zis=1&pf=1&cvid=3B22CA48043D49A29F52509D214C326E | IP: 
2025-07-13 13:53:41,904 - INFO - Action: ALLOW | URL: https://www.bing.com/AS/Suggestions?pt=page.serp&bq=google+chrome&qry=google%20chrome&csr=1&pths=1&rqry=1&zis=1&pf=1&cvid=3B22CA48043D49A29F52509D214C326E | IP: 
2025-07-13 13:53:42,625 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=90&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:42,632 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=90&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:42,644 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.7EdKCw-DxsUU80-yVEjTMwHaD4?w=179&h=104&c=7&bgcl=b8139d&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,652 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.7EdKCw-DxsUU80-yVEjTMwHaD4?w=179&h=104&c=7&bgcl=b8139d&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,668 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=91&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:42,672 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=91&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:42,688 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.zXvPUpv1Tu3yvbqg9fHy6AHaFj?w=123&h=104&c=7&bgcl=dff38c&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,697 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.zXvPUpv1Tu3yvbqg9fHy6AHaFj?w=123&h=104&c=7&bgcl=dff38c&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,713 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.rVLb8SDTptynMgTyaYSOBQHaFj?w=123&h=104&c=7&bgcl=4985d3&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,722 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.rVLb8SDTptynMgTyaYSOBQHaFj?w=123&h=104&c=7&bgcl=4985d3&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,739 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.sL6KGsvOsLdAUdH38JxpAQHaD4?w=177&h=104&c=7&bgcl=c38ef4&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,746 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.sL6KGsvOsLdAUdH38JxpAQHaD4?w=177&h=104&c=7&bgcl=c38ef4&r=0&o=6&dpr=1.5&pid=13.1 | IP: 
2025-07-13 13:53:42,761 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.7EdKCw-DxsUU80-yVEjTMwHaD4?w=80&h=80&c=1&bgcl=ba24c1&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:42,766 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.7EdKCw-DxsUU80-yVEjTMwHaD4?w=80&h=80&c=1&bgcl=ba24c1&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:42,781 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.KRBgt_f4DiRmieNShns92g?w=32&h=32&qlt=93&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:42,788 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.KRBgt_f4DiRmieNShns92g?w=32&h=32&qlt=93&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:43,117 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.C5txPFo6XeS566oCRmT6igHaEK?w=80&h=80&c=1&bgcl=240ef2&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:43,127 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.C5txPFo6XeS566oCRmT6igHaEK?w=80&h=80&c=1&bgcl=240ef2&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:43,173 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODLS.2ad36174-a601-4343-95b8-7eb3aec6b325?w=16&h=16&c=7&o=6&dpr=1.5&pid=1.7 | IP: 
2025-07-13 13:53:43,182 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODLS.2ad36174-a601-4343-95b8-7eb3aec6b325?w=16&h=16&c=7&o=6&dpr=1.5&pid=1.7 | IP: 
2025-07-13 13:53:43,256 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODLS.7e0f21dd-8c83-4221-b2d4-674bbb8e91c5?w=16&h=16&c=7&o=6&dpr=1.5&pid=1.7 | IP: 
2025-07-13 13:53:43,268 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODLS.7e0f21dd-8c83-4221-b2d4-674bbb8e91c5?w=16&h=16&c=7&o=6&dpr=1.5&pid=1.7 | IP: 
2025-07-13 13:53:43,323 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.arR9qBK77jZlZkv8BDLhcQ?w=32&h=32&qlt=94&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:43,331 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.arR9qBK77jZlZkv8BDLhcQ?w=32&h=32&qlt=94&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:43,454 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.BXiP-cGBOmW7OFgG3GgG_AHaHa?w=80&h=80&c=1&bgcl=a7d3ef&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:43,515 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.BXiP-cGBOmW7OFgG3GgG_AHaHa?w=80&h=80&c=1&bgcl=a7d3ef&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
2025-07-13 13:53:43,628 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=95&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:43,643 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/ODF.h-nNW1I8bFd2ifwT6Nv2LQ?w=32&h=32&qlt=95&pcl=fffffa&o=6&pid=1.2 | IP: 
2025-07-13 13:53:43,672 - INFO - Action: ALLOW | URL: https://th.bing.com/th/id/OIP.O0jTuUQAkMYslpIW_q_ZRAHaD4?w=80&h=80&c=1&bgcl=156ca8&r=0&o=6&dpr=1.5&pid=ImgRC | IP: 
